php_version,runtime_profile,execution_environment,opcache_enable,opcache_enable_cli,opcache_jit,opcache_jit_buffer_size,opcache_memory_consumption,opcache_validate_timestamps,error_reporting,scenario,detail,router,size,iterations,revolutions,median_ns,mean_ns,min_ns,max_ns,stddev_ns,rsd_percent,ops_per_second,requests_per_second,requests_per_minute,relative,source
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,"Illuminate Routing",1000,9,1000,10990,11027.888888889,10892,11278,126.53277523976,1.1473889201699,90679.187111464,90679.187111464,5440751.2266878,18.962743599542,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,AltoRouter,1000,9,1000,62237,62299.222222222,61727,63915,613.26915928358,0.98439296255745,16051.564760038,16051.564760038,963093.88560228,107.12514329385,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0,FastRoute,10000,9,1000,586,592.11111111111,576,617,14.578861748317,2.4621834440768,1688872.2086695,1688872.2086695,101332332.52017,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0,AltoRouter,10000,9,1000,709,708.77777777778,697,717,5.9400295131661,0.83806655617643,1410879.4481894,1410879.4481894,84652766.891362,1.1970350910115,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0,"Symfony Routing",10000,9,1000,906,907.88888888889,890,931,12.004114520951,1.3222008406383,1101456.3700893,1101456.3700893,66087382.20536,1.5333083130043,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0,"Ariel Radix Router",10000,9,1000,1123,1127,1114,1147,9.6148034012373,0.85313251120118,887311.44631766,887311.44631766,53238686.779059,1.9033589791706,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0,"Illuminate Routing",10000,9,1000,10804,10930.111111111,10692,11320,227.52457471395,2.0816309404454,91490.378261887,91490.378261887,5489422.6957132,18.459560893226,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0.5,FastRoute,10000,9,1000,577,577.55555555556,571,591,5.6196304961786,0.97300258687201,1731435.1673721,1731435.1673721,103886110.04232,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0.5,"Symfony Routing",10000,9,1000,957,959.55555555556,939,996,16.912264524836,1.7625101982807,1042149.1431218,1042149.1431218,62528948.587309,1.6614082339361,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0.5,"Ariel Radix Router",10000,9,1000,1595,1598.6666666667,1553,1634,26.157641755751,1.6362161231704,625521.26772309,625521.26772309,37531276.063385,2.7679876875722,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0.5,"Illuminate Routing",10000,9,1000,11034,11034.333333333,10852,11212,116.19906291456,1.0530682679627,90626.227230163,90626.227230163,5437573.6338098,19.105232781838,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=0.5,AltoRouter,10000,9,1000,313133,314946.44444444,309449,321691,4136.1947920794,1.3133009961028,3175.143004913,3175.143004913,190508.58029478,545.30934974989,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,FastRoute,10000,9,1000,586,595.22222222222,575,622,19.406629896781,3.2604007666796,1680044.8011947,1680044.8011947,100802688.07168,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,"Symfony Routing",10000,9,1000,941,940,926,957,11.450376024878,1.2181251090296,1063829.787234,1063829.787234,63829787.234043,1.579242113123,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,"Ariel Radix Router",10000,9,1000,1312,1324.2222222222,1286,1367,25.415558567223,1.9192819861135,755160.2617889,755160.2617889,45309615.707334,2.2247526600709,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,"Illuminate Routing",10000,9,1000,10730,10755.333333333,10588,11054,155.15726788577,1.4426077098411,92977.127626607,92977.127626607,5578627.6575964,18.069441851782,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,warm_static_match,position=1,AltoRouter,10000,9,1000,655523,648953.77777778,630206,680503,15968.369476199,2.4606327943539,1540.9417962313,1540.9417962313,92456.50777388,1090.2714205712,20260722-101702-full-opcache.xml
